"","year_of_death","age_group","count","gender"
"1","2009","all_ages","394","female"
"2","2009","0-4","0","female"
"3","2009","5-9","0","female"
"4","2009","10-14","0","female"
"5","2009","15-19","0","female"
"6","2009","20-24","1","female"
"7","2009","25-29","5","female"
"8","2009","30-34","10","female"
"9","2009","35-39","21","female"
"10","2009","40-44","38","female"
"11","2009","45-49","45","female"
"12","2009","50-54","69","female"
"13","2009","55-59","59","female"
"14","2009","60-64","63","female"
"15","2009","65-69","36","female"
"16","2009","70-74","31","female"
"17","2009","75-79","10","female"
"18","2009","80-84","3","female"
"19","2009","85-89","3","female"
"20","2009","90+","0","female"
"21","2009","average_age","55.6","female"
"22","2010","all_ages","355","female"
"23","2010","0-4","0","female"
"24","2010","5-9","0","female"
"25","2010","10-14","0","female"
"26","2010","15-19","1","female"
"27","2010","20-24","1","female"
"28","2010","25-29","3","female"
"29","2010","30-34","9","female"
"30","2010","35-39","21","female"
"31","2010","40-44","34","female"
"32","2010","45-49","51","female"
"33","2010","50-54","64","female"
"34","2010","55-59","54","female"
"35","2010","60-64","52","female"
"36","2010","65-69","41","female"
"37","2010","70-74","11","female"
"38","2010","75-79","9","female"
"39","2010","80-84","3","female"
"40","2010","85-89","0","female"
"41","2010","90+","1","female"
"42","2010","average_age","54.6","female"
"43","2011","all_ages","376","female"
"44","2011","0-4","0","female"
"45","2011","5-9","0","female"
"46","2011","10-14","0","female"
"47","2011","15-19","0","female"
"48","2011","20-24","2","female"
"49","2011","25-29","6","female"
"50","2011","30-34","7","female"
"51","2011","35-39","28","female"
"52","2011","40-44","39","female"
"53","2011","45-49","43","female"
"54","2011","50-54","61","female"
"55","2011","55-59","59","female"
"56","2011","60-64","52","female"
"57","2011","65-69","41","female"
"58","2011","70-74","23","female"
"59","2011","75-79","10","female"
"60","2011","80-84","2","female"
"61","2011","85-89","2","female"
"62","2011","90+","1","female"
"63","2011","average_age","55.1","female"
"64","2012","all_ages","298","female"
"65","2012","0-4","0","female"
"66","2012","5-9","0","female"
"67","2012","10-14","0","female"
"68","2012","15-19","0","female"
"69","2012","20-24","0","female"
"70","2012","25-29","1","female"
"71","2012","30-34","10","female"
"72","2012","35-39","14","female"
"73","2012","40-44","27","female"
"74","2012","45-49","40","female"
"75","2012","50-54","43","female"
"76","2012","55-59","50","female"
"77","2012","60-64","45","female"
"78","2012","65-69","34","female"
"79","2012","70-74","21","female"
"80","2012","75-79","7","female"
"81","2012","80-84","1","female"
"82","2012","85-89","4","female"
"83","2012","90+","1","female"
"84","2012","average_age","56.3","female"
"85","2013","all_ages","308","female"
"86","2013","0-4","0","female"
"87","2013","5-9","0","female"
"88","2013","10-14","0","female"
"89","2013","15-19","0","female"
"90","2013","20-24","1","female"
"91","2013","25-29","2","female"
"92","2013","30-34","10","female"
"93","2013","35-39","15","female"
"94","2013","40-44","30","female"
"95","2013","45-49","40","female"
"96","2013","50-54","53","female"
"97","2013","55-59","54","female"
"98","2013","60-64","41","female"
"99","2013","65-69","35","female"
"100","2013","70-74","15","female"
"101","2013","75-79","8","female"
"102","2013","80-84","4","female"
"103","2013","85-89","0","female"
"104","2013","90+","0","female"
"105","2013","average_age","55.2","female"
"106","2014","all_ages","324","female"
"107","2014","0-4","0","female"
"108","2014","5-9","0","female"
"109","2014","10-14","0","female"
"110","2014","15-19","0","female"
"111","2014","20-24","1","female"
"112","2014","25-29","4","female"
"113","2014","30-34","9","female"
"114","2014","35-39","15","female"
"115","2014","40-44","29","female"
"116","2014","45-49","48","female"
"117","2014","50-54","54","female"
"118","2014","55-59","53","female"
"119","2014","60-64","40","female"
"120","2014","65-69","34","female"
"121","2014","70-74","13","female"
"122","2014","75-79","18","female"
"123","2014","80-84","3","female"
"124","2014","85-89","1","female"
"125","2014","90+","2","female"
"126","2014","average_age","55.6","female"
"127","2015","all_ages","334","female"
"128","2015","0-4","0","female"
"129","2015","5-9","0","female"
"130","2015","10-14","0","female"
"131","2015","15-19","0","female"
"132","2015","20-24","0","female"
"133","2015","25-29","3","female"
"134","2015","30-34","8","female"
"135","2015","35-39","9","female"
"136","2015","40-44","31","female"
"137","2015","45-49","50","female"
"138","2015","50-54","48","female"
"139","2015","55-59","70","female"
"140","2015","60-64","36","female"
"141","2015","65-69","35","female"
"142","2015","70-74","26","female"
"143","2015","75-79","11","female"
"144","2015","80-84","5","female"
"145","2015","85-89","2","female"
"146","2015","90+","0","female"
"147","2015","average_age","56.4","female"
"148","2016","all_ages","342","female"
"149","2016","0-4","0","female"
"150","2016","5-9","0","female"
"151","2016","10-14","0","female"
"152","2016","15-19","0","female"
"153","2016","20-24","1","female"
"154","2016","25-29","1","female"
"155","2016","30-34","7","female"
"156","2016","35-39","10","female"
"157","2016","40-44","28","female"
"158","2016","45-49","36","female"
"159","2016","50-54","59","female"
"160","2016","55-59","58","female"
"161","2016","60-64","53","female"
"162","2016","65-69","46","female"
"163","2016","70-74","18","female"
"164","2016","75-79","15","female"
"165","2016","80-84","8","female"
"166","2016","85-89","2","female"
"167","2016","90+","0","female"
"168","2016","average_age","57.6","female"
"169","2017","all_ages","331","female"
"170","2017","0-4","0","female"
"171","2017","5-9","0","female"
"172","2017","10-14","0","female"
"173","2017","15-19","0","female"
"174","2017","20-24","0","female"
"175","2017","25-29","3","female"
"176","2017","30-34","11","female"
"177","2017","35-39","8","female"
"178","2017","40-44","19","female"
"179","2017","45-49","39","female"
"180","2017","50-54","54","female"
"181","2017","55-59","67","female"
"182","2017","60-64","43","female"
"183","2017","65-69","51","female"
"184","2017","70-74","23","female"
"185","2017","75-79","5","female"
"186","2017","80-84","7","female"
"187","2017","85-89","0","female"
"188","2017","90+","1","female"
"189","2017","average_age","57.4","female"
"190","2018","all_ages","374","female"
"191","2018","0-4","0","female"
"192","2018","5-9","0","female"
"193","2018","10-14","0","female"
"194","2018","15-19","0","female"
"195","2018","20-24","2","female"
"196","2018","25-29","4","female"
"197","2018","30-34","7","female"
"198","2018","35-39","14","female"
"199","2018","40-44","24","female"
"200","2018","45-49","40","female"
"201","2018","50-54","55","female"
"202","2018","55-59","71","female"
"203","2018","60-64","59","female"
"204","2018","65-69","37","female"
"205","2018","70-74","28","female"
"206","2018","75-79","19","female"
"207","2018","80-84","8","female"
"208","2018","85-89","6","female"
"209","2018","90+","0","female"
"210","2018","average_age","58.0","female"
"211","2019","all_ages","361","female"
"212","2019","0-4","0","female"
"213","2019","5-9","0","female"
"214","2019","10-14","0","female"
"215","2019","15-19","0","female"
"216","2019","20-24","1","female"
"217","2019","25-29","4","female"
"218","2019","30-34","9","female"
"219","2019","35-39","13","female"
"220","2019","40-44","26","female"
"221","2019","45-49","37","female"
"222","2019","50-54","46","female"
"223","2019","55-59","72","female"
"224","2019","60-64","56","female"
"225","2019","65-69","52","female"
"226","2019","70-74","26","female"
"227","2019","75-79","11","female"
"228","2019","80-84","4","female"
"229","2019","85-89","4","female"
"230","2019","90+","0","female"
"231","2019","average_age","57.4","female"
"232","2009","all_ages","786","male"
"233","2009","0-4","0","male"
"234","2009","5-9","0","male"
"235","2009","10-14","0","male"
"236","2009","15-19","0","male"
"237","2009","20-24","4","male"
"238","2009","25-29","5","male"
"239","2009","30-34","22","male"
"240","2009","35-39","39","male"
"241","2009","40-44","79","male"
"242","2009","45-49","101","male"
"243","2009","50-54","123","male"
"244","2009","55-59","118","male"
"245","2009","60-64","127","male"
"246","2009","65-69","88","male"
"247","2009","70-74","45","male"
"248","2009","75-79","19","male"
"249","2009","80-84","11","male"
"250","2009","85-89","4","male"
"251","2009","90+","1","male"
"252","2009","average_age","55.7","male"
"253","2010","all_ages","828","male"
"254","2010","0-4","0","male"
"255","2010","5-9","0","male"
"256","2010","10-14","0","male"
"257","2010","15-19","0","male"
"258","2010","20-24","2","male"
"259","2010","25-29","12","male"
"260","2010","30-34","15","male"
"261","2010","35-39","39","male"
"262","2010","40-44","68","male"
"263","2010","45-49","99","male"
"264","2010","50-54","132","male"
"265","2010","55-59","132","male"
"266","2010","60-64","138","male"
"267","2010","65-69","99","male"
"268","2010","70-74","54","male"
"269","2010","75-79","21","male"
"270","2010","80-84","14","male"
"271","2010","85-89","3","male"
"272","2010","90+","0","male"
"273","2010","average_age","56.4","male"
"274","2011","all_ages","759","male"
"275","2011","0-4","0","male"
"276","2011","5-9","0","male"
"277","2011","10-14","0","male"
"278","2011","15-19","0","male"
"279","2011","20-24","0","male"
"280","2011","25-29","4","male"
"281","2011","30-34","15","male"
"282","2011","35-39","41","male"
"283","2011","40-44","64","male"
"284","2011","45-49","84","male"
"285","2011","50-54","106","male"
"286","2011","55-59","119","male"
"287","2011","60-64","124","male"
"288","2011","65-69","93","male"
"289","2011","70-74","66","male"
"290","2011","75-79","22","male"
"291","2011","80-84","15","male"
"292","2011","85-89","4","male"
"293","2011","90+","2","male"
"294","2011","average_age","57.4","male"
"295","2012","all_ages","670","male"
"296","2012","0-4","0","male"
"297","2012","5-9","0","male"
"298","2012","10-14","0","male"
"299","2012","15-19","0","male"
"300","2012","20-24","1","male"
"301","2012","25-29","12","male"
"302","2012","30-34","18","male"
"303","2012","35-39","30","male"
"304","2012","40-44","46","male"
"305","2012","45-49","85","male"
"306","2012","50-54","88","male"
"307","2012","55-59","98","male"
"308","2012","60-64","118","male"
"309","2012","65-69","93","male"
"310","2012","70-74","37","male"
"311","2012","75-79","25","male"
"312","2012","80-84","14","male"
"313","2012","85-89","4","male"
"314","2012","90+","1","male"
"315","2012","average_age","56.9","male"
"316","2013","all_ages","694","male"
"317","2013","0-4","0","male"
"318","2013","5-9","0","male"
"319","2013","10-14","0","male"
"320","2013","15-19","0","male"
"321","2013","20-24","2","male"
"322","2013","25-29","6","male"
"323","2013","30-34","19","male"
"324","2013","35-39","29","male"
"325","2013","40-44","58","male"
"326","2013","45-49","84","male"
"327","2013","50-54","115","male"
"328","2013","55-59","106","male"
"329","2013","60-64","102","male"
"330","2013","65-69","75","male"
"331","2013","70-74","49","male"
"332","2013","75-79","31","male"
"333","2013","80-84","10","male"
"334","2013","85-89","5","male"
"335","2013","90+","3","male"
"336","2013","average_age","56.8","male"
"337","2014","all_ages","712","male"
"338","2014","0-4","0","male"
"339","2014","5-9","0","male"
"340","2014","10-14","0","male"
"341","2014","15-19","0","male"
"342","2014","20-24","0","male"
"343","2014","25-29","6","male"
"344","2014","30-34","7","male"
"345","2014","35-39","34","male"
"346","2014","40-44","48","male"
"347","2014","45-49","89","male"
"348","2014","50-54","100","male"
"349","2014","55-59","114","male"
"350","2014","60-64","102","male"
"351","2014","65-69","95","male"
"352","2014","70-74","66","male"
"353","2014","75-79","33","male"
"354","2014","80-84","17","male"
"355","2014","85-89","1","male"
"356","2014","90+","0","male"
"357","2014","average_age","58.1","male"
"358","2015","all_ages","711","male"
"359","2015","0-4","0","male"
"360","2015","5-9","0","male"
"361","2015","10-14","0","male"
"362","2015","15-19","0","male"
"363","2015","20-24","0","male"
"364","2015","25-29","6","male"
"365","2015","30-34","13","male"
"366","2015","35-39","24","male"
"367","2015","40-44","38","male"
"368","2015","45-49","89","male"
"369","2015","50-54","102","male"
"370","2015","55-59","103","male"
"371","2015","60-64","115","male"
"372","2015","65-69","108","male"
"373","2015","70-74","58","male"
"374","2015","75-79","36","male"
"375","2015","80-84","15","male"
"376","2015","85-89","4","male"
"377","2015","90+","0","male"
"378","2015","average_age","58.7","male"
"379","2016","all_ages","797","male"
"380","2016","0-4","0","male"
"381","2016","5-9","0","male"
"382","2016","10-14","0","male"
"383","2016","15-19","0","male"
"384","2016","20-24","0","male"
"385","2016","25-29","8","male"
"386","2016","30-34","14","male"
"387","2016","35-39","19","male"
"388","2016","40-44","53","male"
"389","2016","45-49","83","male"
"390","2016","50-54","116","male"
"391","2016","55-59","123","male"
"392","2016","60-64","122","male"
"393","2016","65-69","114","male"
"394","2016","70-74","70","male"
"395","2016","75-79","46","male"
"396","2016","80-84","22","male"
"397","2016","85-89","7","male"
"398","2016","90+","0","male"
"399","2016","average_age","59.1","male"
"400","2017","all_ages","789","male"
"401","2017","0-4","0","male"
"402","2017","5-9","0","male"
"403","2017","10-14","0","male"
"404","2017","15-19","0","male"
"405","2017","20-24","0","male"
"406","2017","25-29","7","male"
"407","2017","30-34","14","male"
"408","2017","35-39","29","male"
"409","2017","40-44","34","male"
"410","2017","45-49","84","male"
"411","2017","50-54","105","male"
"412","2017","55-59","119","male"
"413","2017","60-64","118","male"
"414","2017","65-69","133","male"
"415","2017","70-74","74","male"
"416","2017","75-79","51","male"
"417","2017","80-84","17","male"
"418","2017","85-89","4","male"
"419","2017","90+","0","male"
"420","2017","average_age","59.5","male"
"421","2018","all_ages","762","male"
"422","2018","0-4","0","male"
"423","2018","5-9","0","male"
"424","2018","10-14","0","male"
"425","2018","15-19","1","male"
"426","2018","20-24","1","male"
"427","2018","25-29","0","male"
"428","2018","30-34","8","male"
"429","2018","35-39","32","male"
"430","2018","40-44","47","male"
"431","2018","45-49","72","male"
"432","2018","50-54","91","male"
"433","2018","55-59","136","male"
"434","2018","60-64","98","male"
"435","2018","65-69","118","male"
"436","2018","70-74","93","male"
"437","2018","75-79","38","male"
"438","2018","80-84","18","male"
"439","2018","85-89","5","male"
"440","2018","90+","4","male"
"441","2018","average_age","59.9","male"
"442","2019","all_ages","659","male"
"443","2019","0-4","0","male"
"444","2019","5-9","0","male"
"445","2019","10-14","0","male"
"446","2019","15-19","0","male"
"447","2019","20-24","1","male"
"448","2019","25-29","5","male"
"449","2019","30-34","12","male"
"450","2019","35-39","24","male"
"451","2019","40-44","43","male"
"452","2019","45-49","71","male"
"453","2019","50-54","90","male"
"454","2019","55-59","92","male"
"455","2019","60-64","92","male"
"456","2019","65-69","91","male"
"457","2019","70-74","76","male"
"458","2019","75-79","32","male"
"459","2019","80-84","19","male"
"460","2019","85-89","10","male"
"461","2019","90+","1","male"
"462","2019","average_age","59.3","male"
